Length,Weight,Sex
64,3,1
68,5,1
69,5,1
72,5,1
72,5,1
76,6,1
80,8,1
83,9,1
83,9,1
83,10,1
84,9,1
84,9,1
85,9,1
85,9,1
86,9,1
86,11,1
87,10,1
87,9,1
87,10,1
89,11,1
91,13,1
93,14,1
95,13,1
96,15,1
98,13,1
100,14,1
100,21,1
100,19,1
100,16,1
100,15,1
100,20,1
101,14,1
101,18,1
101,14,1
101,14,1
102,16,1
102,15,1
102,22,1
102,17,1
102,16,1
103,18,1
103,16,1
103,18,1
103,17,1
104,21,1
104,18,1
104,15,1
104,18,1
104,25,1
104,19,1
105,21,1
105,18,1
105,18,1
106,19,1
106,16,1
106,24,1
106,18,1
106,20,1
106,19,1
106,16,1
106,19,1
106,17,1
106,19,1
106,18,1
106,17,1
106,19,1
107,22,1
107,19,1
107,18,1
108,19,1
108,19,1
108,20,1
108,21,1
108,19,1
108,21,1
108,19,1
108,18,1
108,20,1
108,20,1
108,21,1
108,20,1
109,20,1
109,23,1
109,17,1
109,23,1
109,19,1
109,22,1
109,20,1
109,21,1
109,22,1
109,19,1
110,20,1
110,21,1
110,20,1
110,21,1
110,20,1
110,22,1
110,21,1
110,19,1
110,20,1
110,20,1
110,21,1
110,19,1
110,22,1
110,21,1
110,22,1
110,23,1
110,20,1
110,20,1
111,22,1
111,22,1
111,22,1
111,22,1
112,19,1
112,21,1
112,24,1
112,22,1
112,23,1
112,19,1
112,21,1
112,19,1
112,23,1
112,23,1
112,25,1
112,23,1
112,23,1
112,23,1
113,22,1
113,21,1
113,23,1
113,21,1
113,22,1
113,23,1
113,24,1
113,20,1
113,22,1
113,23,1
113,23,1
113,22,1
114,21,1
114,24,1
114,22,1
114,25,1
114,24,1
114,21,1
114,23,1
114,24,1
114,22,1
114,21,1
114,24,1
114,22,1
114,24,1
114,23,1
114,23,1
114,24,1
115,23,1
115,23,1
115,22,1
115,24,1
115,23,1
115,23,1
115,22,1
115,23,1
115,23,1
115,24,1
115,22,1
115,22,1
115,25,1
115,25,1
115,23,1
115,25,1
115,20,1
115,22,1
115,23,1
115,26,1
115,25,1
115,22,1
116,22,1
116,21,1
116,23,1
116,22,1
116,23,1
116,25,1
116,20,1
116,24,1
116,23,1
116,23,1
116,24,1
116,21,1
116,24,1
116,27,1
116,24,1
116,21,1
116,24,1
116,21,1
116,22,1
116,24,1
117,26,1
117,24,1
117,25,1
117,25,1
117,24,1
117,25,1
117,24,1
117,23,1
117,23,1
117,20,1
117,22,1
117,23,1
117,26,1
117,23,1
117,24,1
118,22,1
118,24,1
118,23,1
118,24,1
118,21,1
118,23,1
118,24,1
118,23,1
118,26,1
118,22,1
118,26,1
118,23,1
118,25,1
118,25,1
118,26,1
118,27,1
118,25,1
119,25,1
119,26,1
119,27,1
119,25,1
119,25,1
119,24,1
119,26,1
120,26,1
120,23,1
120,27,1
120,22,1
120,27,1
120,25,1
120,23,1
120,26,1
120,22,1
120,25,1
120,27,1
120,26,1
120,23,1
120,25,1
120,26,1
120,22,1
120,26,1
120,24,1
120,26,1
120,23,1
120,25,1
120,29,1
121,27,1
121,28,1
121,28,1
121,25,1
121,26,1
121,29,1
121,27,1
121,25,1
122,24,1
